GenBank,Seq.Names,Clade.Label,MajorGroup,Group,ThermoMode,Class,Order,Family,Species,dN,dS,dNdS,Clade,Clade.Age,Tip.Age,Lat,AnnualTemp,Habitat,BodyMass,Longevity,MaturityAge,Fecundity,Migration,Ref.BodyMass,Ref.Fecundity,Ref.MaturityAge,Ref.Longevity
HM143936.1,Polypterus_palmas_polli_HM143936.1,Polypteriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_palmas,2.07E-10,5.90E-09,0.035016805,Fishes_Node2531,66.65953009,13.98965606,8.571428571,25.69894104,Freshwater,246.7,30,1.920514825,50,NA,FishBase,FishBase,,https://www.monsterfishkeepers.com/forums/threads/life-span-of-a-bichir.310777/
HM143930.1,Polypterus_delhezi_HM143930.1,Polypteriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Polypteriformes,Polypteridae,Polypterus_delhezi,3.05E-10,7.41E-09,0.041164976,Fishes_Node2531,66.65953009,13.98965606,2.017857143,24.07527618,Freshwater,485.2,15,2.150761798,2350,NA,FishBase,FishBase,,https://badmanstropicalfish.com/delhezi-bichir/
AY510086.1,Polyodon_spathula_AY510086.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Polyodontidae,Polyodon_spathula,3.43E-11,1.23E-09,0.027869422,Fishes_Node2543,120.8002015,63.10010197,39.63596491,12.16389465,Freshwater,101206.6,55,10,8692521,NA,FishBase,Relationships between genetic variability and life_history features of bony fishes,Animal Diversity Web,FishBase
AY571339.1,Psephurus_gladius_AY571339.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Polyodontidae,Psephurus_gladius,6.40E-11,1.48E-09,0.043157115,Fishes_Node2543,120.8002015,63.10010197,30.4375,17.94202595,Marine&Freshwater,3.00E+05,38,5.5,970000,NA,FishBase,FishBase,FishBase,https://www.igb-berlin.de/en/chinese-paddlefish
MF101788.1,Scaphirhynchus_platorynchus_MF101788.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Scaphirhynchus_platorynchus,1.59E-10,4.32E-09,0.036740342,Fishes_Node2543,120.8002015,16.1716424,40.27419355,11.27915649,Freshwater,6147.4,43,5,416849,NA,FishBase,Relationships between genetic variability and life_history features of bony fishes,FishBase,FishBase
KP997216.1,Acipenser_sturio_KP997216.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_sturio,2.08E-10,5.57E-09,0.037401694,Fishes_Node2543,120.8002015,3.91020898,51.15374677,11.56818266,Marine&Freshwater,1094864.3,6.8,9.2,433333,NA,FishBase,FishBase,FishBase,FishBase
KU985073.1,Acipenser_oxyrinchus_oxyrinchus_KU985073.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_oxyrinchus,3.46E-10,6.56E-09,0.05272886,Fishes_Node2543,120.8002015,3.91020898,40.4261745,12.28925543,Marine&Freshwater,333362,60,15.1,1030000,NA,FishBase,FishBase,FishBase,FishBase
MK078264.1,Huso_dauricus_MK078264.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Huso_dauricus,1.25E-10,4.41E-09,0.028373192,Fishes_Node2543,120.8002015,2.61485866,48.83333333,3.993600416,Marine&Freshwater,1696103.9,80,16,4.00E+06,NA,FishBase,The Fishes of Heilongjiang,The Fishes of Heilongjiang,FishBase
KM591217.1,Acipenser_medirostris_KM591217.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_medirostris,3.08E-10,7.45E-09,0.041294584,Fishes_Node2543,120.8002015,2.61485863,50.09259259,8.934988022,Marine&Freshwater,116720.2,80,17,140000,NA,FishBase,https://www.scwa2.com/documents/hcp/appendix/Green_Sturgeon.pdf,https://www.scwa2.com/documents/hcp/appendix/Green_Sturgeon.pdf,FishBase
NC_004743.1,Acipenser_transmontanus_NC_004743.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_transmontanus,1.73E-10,3.55E-09,0.04860914,Fishes_Node2543,120.8002015,1.34237566,44.3627451,11.1436985,Marine&Freshwater,2287116.4,104,11,398600,NA,FishBase,FishBase,FishBase,FishBase
MH973731.1,Acipenser_schrenckii_MH973731.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_schrenckii,1.04E-10,4.24E-09,0.024457007,Fishes_Node2543,120.8002015,1.34237566,48.1,2.619889069,Freshwater,419746.5,65,8.8,2800000,NA,FishBase,The Fishes of Heilongjiang,FishBase,FishBase
KJ174513.1,Acipenser_sinensis_KJ174513.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_sinensis,3.89E-10,1.02E-08,0.038332749,Fishes_Node2543,120.8002015,3.72848205,23.72222222,22.71030312,Marine&Freshwater,6.00E+05,13,11,306000,NA,FishBase,FishBase,FishBase,FishBase
AY442351.1,Huso_huso_AY442351.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Huso_huso,2.16E-10,4.65E-09,0.046450151,Fishes_Node2543,120.8002015,5.19788305,42.07142857,15.32823505,Marine&Freshwater,3428960.3,118,11.8,360000,NA,FishBase,FishBase,FishBase,FishBase
MN746333.1,Pseudoscaphirhynchus_kaufmanni_MN746333.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Pseudoscaphirhynchus_kaufmanni,2.44E-10,9.59E-09,0.025487728,Fishes_Node2543,120.8002015,1.86192564,44.33464567,12.00351715,Freshwater,2000,14,6,36500,NA,FishBase,https://fish-of-the-world.fandom.com/wiki/Pseudoscaphirhynchus_kaufmanni,FishBase,https://fish-of-the-world.fandom.com/wiki/Pseudoscaphirhynchus_kaufmanni
NC_005795.1,Acipenser_stellatus_NC_005795.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_stellatus,3.22E-10,6.40E-09,0.050282893,Fishes_Node2543,120.8002015,1.86192564,43.40909091,14.16628246,Marine&Freshwater,34476.4,27,6.8,20000,NA,FishBase,FishBase,FishBase,FishBase
KU321568.1,Acipenser_nudiventris_KU321568.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_nudiventris,1.78E-10,5.51E-09,0.032355521,Fishes_Node2543,120.8002015,3.09116233,44.96666667,13.46116018,Marine&Freshwater,145014.4,30,9,575966,NA,FishBase,The Fishes of Xinjiang,FishBase,http://resp.llas.ac.cn/C666/handle/2XK7JSWQ/274617
KF153104.1,Acipenser_ruthenus_KF153104.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_ruthenus,1.64E-10,8.91E-09,0.018393964,Fishes_Node2543,120.8002015,3.09116233,52.80997305,6.138793182,Freshwater,19461,69.7,4.2,11000,NA,FishBase,FishBase,FishBase,FishBase
KU985082.2,Acipenser_fulvescens_KU985082.2,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_fulvescens,2.46E-10,9.44E-09,0.026101754,Fishes_Node2543,120.8002015,2.49853506,45.19953052,6.508230591,Freshwater,409864.5,152,18,101836,NA,FishBase,FishBase,FishBase,FishBase
KX817302.2,Acipenser_brevirostrum_KX817302.2,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_brevirostrum,1.41E-10,4.52E-09,0.03125,Fishes_Node2543,120.8002015,2.07797591,39.01020408,14.22789497,Marine&Freshwater,24007.7,67,7.7,48000,NA,FishBase,FishBase,FishBase,AnAge
MW856903.1,Acipenser_baerii_MW856903.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_baerii,1.19E-10,1.90E-09,0.062678804,Fishes_Node2543,120.8002015,2.07710045,53.53571429,9.147691345,Freshwater,195030.2,63,12.5,92062,NA,FishBase,FishBase,FishBase,FishBase
KJ789859.1,Acipenser_gueldenstaedtii_KJ789859.1,Acipenseriformes,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser_gueldenstaedtii,6.44E-10,3.68E-09,0.175069277,Fishes_Node2543,120.8002015,2.07710037,44.03571429,14.25142117,Marine&Freshwater,79286.4,46,10,38000,NA,FishBase,FishBase,FishBase,FishBase
DQ536423.1,Lepisosteus_osseus_DQ536423.1,Holostei,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus_osseus,1.28E-10,3.74E-09,0.034186944,Fishes_Node2563,93.90060447,4.97525882,37.73561644,13.55245209,Freshwater,25986.9,36,6,77000,NA,FishBase,Animal Diversity Web,worldspecies.org,worldspecies.org
AB042861.1,Lepisosteus_oculatus_AB042861.1,Holostei,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Lepisosteiformes,Lepisosteidae,Lepisosteus_oculatus,1.67E-10,3.58E-09,0.046616541,Fishes_Node2563,93.90060447,4.97525882,39,11.689991,Freshwater,31909.8,18,1.7,1772,NA,FishBase,FishBase,FishBase,FishBase
KJ531198.1,Atractosteus_tropicus_KJ531198.1,Holostei,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus_tropicus,1.54E-10,4.00E-09,0.038454965,Fishes_Node2563,93.90060447,8.88707339,14.38333333,23.73810577,Freshwater,9589.8,25,2,99087,NA,FishBase,"Reproducci¨®n y alimentaci¨®n del gaspar Atractosteus tropicus (Pisces : Lepisosteidae) en el Refugio Nacional de Vida Silvestre Ca_o Negro, Costa Rica""",https://thenode.biologists.com/a-day-in-the-life-of-a-gar-lab/lablife/,https://aquariumapi.com/wp/tropical-gar-care-atractosteus-tropicus/
NC_008131.1,Atractosteus_spatula_NC_008131.1,Holostei,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus_spatula,1.03E-10,2.02E-09,0.051000364,Fishes_Node2563,93.90060447,4.54781864,27.61764706,21.43115997,Freshwater,273228.4,95,14,157291,NA,FishBase,http://txstate.fishesoftexas.org/atractosteus%20spatula.htm,http://txstate.fishesoftexas.org/atractosteus%20spatula.htm,https://tpwd.texas.gov/huntwild/wild/species/alg/
KY581571.1,Atractosteus_tristoechus_KY581571.1,Holostei,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus_tristoechus,2.47E-10,1.95E-09,0.126921189,Fishes_Node2563,93.90060447,4.54781864,22.5,25.076091,Freshwater,61248.8,12,4,140000,NA,FishBase,"First finding of gar Atractosteus sp.(Actinopterygii, Lepisosteiformes, Lepisosteidae) in the Caspian Sea near the coast of Turkmenistan",Crecimiento alom¨¦trico en larvas de manjuar¨ª (Atractosteus tristoechus),Aquariumwiki.com
AP004808.1,Megalops_atlanticus_AP004808.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Elopiformes,Megalopidae,Megalops_atlanticus,1.85E-10,6.75E-09,0.02738362,Fishes_Node2569,126.0010894,24.61983635,21.08403361,23.53788815,Marine&Freshwater,102319.5,55,7,12200000,NA,FishBase,FishBase,FishBase,FishBase
AB051110.1,Megalops_cyprinoides_AB051110.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Elopiformes,Megalopidae,Megalops_cyprinoides,1.31E-10,6.57E-09,0.019947196,Fishes_Node2569,126.0010894,24.61983635,12.65024631,26.53796806,Marine&Freshwater,44383.2,44,4.039682565,219754.4548,NA,FishBase,,,FishBase
AB051070.1,Elops_hawaiensis_AB051070.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Elopiformes,Elopidae,Elops_hawaiensis,1.75E-10,4.91E-09,0.035687195,Fishes_Node2569,126.0010894,1.89084102,13.28044739,25.56333275,Marine&Freshwater,8156.2,18.71368487,3.601964014,140302.4384,NA,FishBase,,,
AP004807.1,Elops_saurus_AP004807.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Elopiformes,Elopidae,Elops_saurus,1.13E-10,5.76E-09,0.019565017,Fishes_Node2569,126.0010894,1.89084102,10.70253165,28.15846443,Marine,6274.8,6,2,519400,NA,FishBase,"Aspectos biol¨®gicos y ecol¨®gicos del macab¨ª Elops saurus Linnaeus (Pisces: Elopidae) en la Cienaga Grande de Santa Marta y costa adyacente, Caribe Colombiano",FishBase,https://sta.uwi.edu/fst/lifesciences/sites/default/files/lifesciences/documents/ogatt/Elops_saurus%20-%20Ladyfish.pdf
NC_005796.1,Pterothrissus_gissu_NC_005796.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Albuliformes,Albulidae,Pterothrissus_gissu,6.72E-11,4.84E-09,0.01387105,Fishes_Node2573,83.34824654,83.34824626,32.72222222,4,Marine,1640.1,12.33353328,2.296814916,420000,NA,FishBase,Batch fecundity and gonadal maturation of deepsea bonefish Pterothrissus gissu in Sagami Bay,,
AP002974.1,Aldrovandia_affinis_AP002974.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Notacanthiformes,Halosauridae,Aldrovandia_affinis,9.82E-11,7.94E-09,0.012377289,Fishes_Node2573,83.34824654,19.15441541,24.17049076,4,Marine,1046.8,12.9062586,2.41212708,57052,NA,FishBase,Reproduction in the North Atlantic oceanic ichthyofauna and the relationship between fecundity and species' sizes,,
NC_035885.1,Halosauropsis_macrochir_NC_035885.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Notacanthiformes,Halosauridae,Halosauropsis_macrochir,1.38E-10,7.97E-09,0.017286021,Fishes_Node2573,83.34824654,16.47499343,26.20540445,4,Marine,3267.8,36,3.106889852,197925,NA,FishBase,Reproduction in the North Atlantic oceanic ichthyofauna and the relationship between fecundity and species' sizes,,"Distribution, Population Biology, and Trophic Ecology of the Deepwater Demersal Fish Halosauropsis macrochir (Pisces: Halosauridae) on the Mid-Atlantic Ridge"
AP002975.2,Notacanthus_chemnitzi_AP002975.2,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Notacanthiformes,Notacanthidae,Notacanthus_chemnitzii,3.91E-10,2.15E-08,0.018218705,Fishes_Node2573,83.34824654,6.92150714,40.52043306,4,Marine,4171.4,30,3.601964014,262144,NA,FishBase,Reproduction in the North Atlantic oceanic ichthyofauna and the relationship between fecundity and species' sizes,,"First Data on the Age, Growth Processes, and Otoliths
of Snub-Nosed Spiny Eel Notacanthus chemnitzii (Notacanthidae)"
MT027058.1,Notacanthus_bonaparte_MT027058.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Notacanthiformes,Notacanthidae,Notacanthus_bonaparte,2.67E-10,2.56E-08,0.01041331,Fishes_Node2573,83.34824654,6.92150714,40.10323887,4,Marine,25.6,9.033102589,1.641205933,3870,NA,FishBase,"Reproductive traits (Fecundity, egg diameter, parental care) of marine European fish",,
MK189460.1,Dysomma_anguillare_MK189460.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Synaphobranchidae,Dysomma_anguillare,1.34E-10,6.25E-09,0.021465573,Fishes_Node2578,30.84731211,30.84731188,15.00995135,25.01310732,Marine,181.8,27.87661356,2.83989474,26107.50093,NA,FishBase,,,
NC_013605.1,Simenchelys_parasitica_NC_013605.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Synaphobranchidae,Simenchelys_parasitica,1.89E-10,8.43E-09,0.022414751,Fishes_Node2578,30.84731211,24.47775906,29.13228492,4,Marine,372.5,27.58709865,3.148189297,35989.11528,NA,FishBase,,,
AP002977.2,Synaphobranchus_kaupii_AP002977.2,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Synaphobranchidae,Synaphobranchus_kaupii,2.12E-10,6.37E-09,0.033353694,Fishes_Node2578,30.84731211,24.47775905,36.67198178,4,Marine,1416,26.70954517,4.331679031,120000,NA,FishBase,"Reproductive traits (Fecundity, egg diameter, parental care) of marine European fish",,
NC_013602.1,Moringua_microchir_NC_013602.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Moringuidae,Moringua_microchir,2.27E-10,6.50E-09,0.034844105,Fishes_Node2583,21.73525082,21.73525082,8.144526445,28.58665657,Marine,133.4,28.06153704,2.660455306,21304.80273,NA,FishBase,,,
NC_013622.1,Moringua_edwardsi_NC_013622.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Moringuidae,Moringua_edwardsi,1.58E-10,8.57E-09,0.018376745,Fishes_Node2583,21.73525082,21.73525082,18.81871345,26.9782505,Marine,4.1,30.23782385,1.272694024,2143.273961,NA,FishBase,,,
NC_013609.1,Cyema_atrum_NC_013609.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Cyematidae,Cyema_atrum,3.18E-10,4.51E-09,0.070438257,Fishes_Node2584,79.86835461,79.86835448,29.34722159,4,Marine,180,27.94821037,2.768886619,24127.57318,NA,FishBase,,,
AB046473.2,Eurypharynx_pelecanoides_AB046473.2,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Eurypharyngidae,Eurypharynx_pelecanoides,2.82E-10,4.53E-09,0.06216428,Fishes_Node2584,79.86835461,64.51395702,55.6515625,4,Marine,580,26.70954517,2,256,NA,FishBase,Reproduction in the North Atlantic oceanic ichthyofauna and the relationship between fecundity and species' sizes,https://prezi.com/aosi9p4n9hot/gulper-pelican-eel/,
AB047825.1,Saccopharynx_lavenbergi_AB047825.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Saccopharyngidae,Saccopharynx_lavenbergi,4.63E-10,7.36E-09,0.062958064,Fishes_Node2584,79.86835461,64.51395702,23.75757301,4,Marine,5649,27.14710728,3.689693971,59001.10852,NA,FishBase,,,
NC_013627.1,Serrivomer_beanii_NC_013627.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Serrivomeridae,Serrivomer_beanii,2.09E-10,4.67E-09,0.044806474,Fishes_Node2588,16.72802032,16.72802028,20.04038354,4,Marine,628.7,27.14710728,3.689693971,59001.10852,NA,FishBase,,,
NC_013628.2,Stemonidium_hypomelas_NC_013628.2,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Serrivomeridae,Stemonidium_hypomelas,2.75E-10,9.80E-09,0.028112218,Fishes_Node2588,16.72802032,13.25274081,26.85912448,4,Marine,13.1,29.48983722,1.629712357,14000,NA,FishBase,https://www.wikiwand.com/en/Stemonidium,,
AP007250.1,Serrivomer_sector_AP007250.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Serrivomeridae,Serrivomer_sector,9.24E-11,4.94E-09,0.018683274,Fishes_Node2588,16.72802032,13.25274081,21.65738242,4,Marine,443.4,27.19326424,3.628332647,55998.40262,NA,FishBase,,,
NC_013626.2,Labichthys_carinatus_NC_013626.2,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Nemichthyidae,Labichthys_carinatus,2.38E-10,7.97E-09,0.029887267,Fishes_Node2591,2.92242392,2.92242392,15.62401517,4,Marine,679.3,27.10219437,3.75050018,62082.66476,NA,FishBase,,,
NC_013624.2,Avocettina_infans_NC_013624.2,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Nemichthyidae,Avocettina_infans,1.92E-10,2.56E-09,0.074729552,Fishes_Node2591,2.92242392,2.92242392,21.48207849,4,Marine,679.3,27.10219437,3.75050018,62082.66476,NA,FishBase,,,
AP007238.1,Anguilla_malgumora_AP007238.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_malgumora,1.66E-10,7.96E-09,0.020814324,Fishes_Node2592,9.76678626,9.7667856,25.8,20.00173378,Marine&Freshwater,831.9,40,3.75050018,62082.66476,NA,FishBase,,,AnAge
AP007244.1,Anguilla_mossambica_AP007244.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_mossambica,1.66E-10,1.17E-08,0.014165302,Fishes_Node2592,9.76678626,7.81190323,16.24876847,25.34510517,Marine&Freshwater,10762.8,20,5.627874084,219754.4548,NA,FishBase,,,FishBase
AP007249.2,Anguilla_rostrata_AP007249.2,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_rostrata,2.61E-10,1.33E-08,0.01966391,Fishes_Node2592,9.76678626,1.71372095,29.05832037,16.47396529,Marine&Freshwater,7511.5,50,5.4,6373333,NA,FishBase,FishBase,FishBase,FishBase
KJ564221.1,Anguilla_anguilla_KJ564221.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_anguilla,2.38E-10,1.53E-08,0.015549448,Fishes_Node2592,9.76678626,1.71372095,46.00688613,9.275670159,Marine&Freshwater,3419.2,88,8.8,1.00E+07,NA,FishBase,Relationships between genetic variability and life_history features of bony fishes,FishBase,AnAge
AP007234.1,Anguilla_australis_australis_AP007234.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_australis_australis,1.33E-10,1.30E-08,0.010299445,Fishes_Node2592,9.76678626,4.76564532,35.63740458,9.290841675,Marine&Freshwater,3967.6,32,9,5.00E+06,NA,FishBase,FishBase,FishBase,FishBase
AP007240.1,Anguilla_dieffenbachii_AP007240.1,Elopomorpha,Actinopterygii,Fishes,Ectotherms,Actinopterygii,Anguilliformes,Anguillidae,Anguilla_dieffenbachii,2.30E-10,8.01E-09,0.028756901,Fishes_Node2592,9.76678626,4.76564532,41.125,13.46077967,Marine&Freshwater,20216.3,60,25.4,335033.1343,NA,FishBase,,FishBase,Wikipedia
